reading lang.rbnf
OK
check syntax and markup RBNF tokens
OK
RBNF tokens: 337
LEVEL_14:reserved_words:49 68:"while":0:70 = "r":177 FALSE
LEVEL_14:reserved_words:49 70:"do":0:0 = "r":177 FALSE
LEVEL_14:reserved_words:49 FALSE
LEVEL_13:name:39 46:EXCLUDE_OFF:0:0
LEVEL_13:name:39 TRUE
LEVEL_12:factor:323 TRUE
LEVEL_11:term:311 317:"mul_div"-->112 NON_TERMINAL
LEVEL_12:mul_div:112 entry 115
LEVEL_12:mul_div:112 115:"*":0:118 = "do":179 FALSE
LEVEL_12:mul_div:112 118:"/":0:0 = "do":179 FALSE
LEVEL_12:mul_div:112 FALSE
LEVEL_11:term:311 TRUE
LEVEL_10:expression:294 305:"plus_minus"-->102 NON_TERMINAL
LEVEL_11:plus_minus:102 entry 105
LEVEL_11:plus_minus:102 105:"+":0:108 = "do":179 FALSE
LEVEL_11:plus_minus:102 108:"-":0:0 = "do":179 FALSE
LEVEL_11:plus_minus:102 FALSE
LEVEL_10:expression:294 TRUE
LEVEL_9:condition:275 TRUE
LEVEL_8:operator_content:198 258:"do":260:0 = "do":179 TRUE
LEVEL_8:operator_content:198 260:"operator"-->264 NON_TERMINAL
LEVEL_9:operator:264 entry 269
LEVEL_9:operator:264 269:"operator_content"-->198 NON_TERMINAL
LEVEL_10:operator_content:198 entry 204
LEVEL_10:operator_content:198 204:"name"-->39 NON_TERMINAL
LEVEL_11:name:39 entry 42
LEVEL_11:name:39 42:EXCLUDE_ON:44:0
LEVEL_11:name:39 44:"reserved_words"-->49 NON_TERMINAL
LEVEL_12:reserved_words:49 entry 52
LEVEL_12:reserved_words:49 52:"const":0:54 = "w":181 FALSE
LEVEL_12:reserved_words:49 54:"var":0:56 = "w":181 FALSE
LEVEL_12:reserved_words:49 56:"procedure":0:58 = "w":181 FALSE
LEVEL_12:reserved_words:49 58:"call":0:60 = "w":181 FALSE
LEVEL_12:reserved_words:49 60:"begin":0:62 = "w":181 FALSE
LEVEL_12:reserved_words:49 62:"end":0:64 = "w":181 FALSE
LEVEL_12:reserved_words:49 64:"if":0:66 = "w":181 FALSE
LEVEL_12:reserved_words:49 66:"then":0:68 = "w":181 FALSE
LEVEL_12:reserved_words:49 68:"while":0:70 = "w":181 FALSE
LEVEL_12:reserved_words:49 70:"do":0:0 = "w":181 FALSE
LEVEL_12:reserved_words:49 FALSE
LEVEL_11:name:39 46:EXCLUDE_OFF:0:0
LEVEL_11:name:39 TRUE
SEMANTIC_TOKEN AT 206: SEM_LET
LEVEL_10:operator_content:198 208:":=":210:0 = ":=":182 SEMANTIC DECODE: SEM_LET=":="
 TRUE
SEMANTIC_TOKEN AT 210: SEM_DONE
LEVEL_10:operator_content:198 212:"expression"-->294 NON_TERMINAL
LEVEL_11:expression:294 entry 298
LEVEL_11:expression:294 298:"plus_minus"-->102 NON_TERMINAL
LEVEL_12:plus_minus:102 entry 105
LEVEL_12:plus_minus:102 105:"+":0:108 = "2":183 FALSE
LEVEL_12:plus_minus:102 108:"-":0:0 = "2":183 FALSE
LEVEL_12:plus_minus:102 FALSE
LEVEL_11:expression:294 302:"term"-->311 NON_TERMINAL
LEVEL_12:term:311 entry 314
LEVEL_12:term:311 314:"factor"-->323 NON_TERMINAL
LEVEL_13:factor:323 entry 326
LEVEL_13:factor:323 326:"name"-->39 NON_TERMINAL
LEVEL_14:name:39 entry 42
LEVEL_14:name:39 42:EXCLUDE_ON:44:0
LEVEL_14:name:39 44:"reserved_words"-->49 NON_TERMINAL
LEVEL_15:reserved_words:49 entry 52
LEVEL_15:reserved_words:49 52:"const":0:54 = "2":183 FALSE
LEVEL_15:reserved_words:49 54:"var":0:56 = "2":183 FALSE
LEVEL_15:reserved_words:49 56:"procedure":0:58 = "2":183 FALSE
LEVEL_15:reserved_words:49 58:"call":0:60 = "2":183 FALSE
LEVEL_15:reserved_words:49 60:"begin":0:62 = "2":183 FALSE
LEVEL_15:reserved_words:49 62:"end":0:64 = "2":183 FALSE
LEVEL_15:reserved_words:49 64:"if":0:66 = "2":183 FALSE
LEVEL_15:reserved_words:49 66:"then":0:68 = "2":183 FALSE
LEVEL_15:reserved_words:49 68:"while":0:70 = "2":183 FALSE
LEVEL_15:reserved_words:49 70:"do":0:0 = "2":183 FALSE
LEVEL_15:reserved_words:49 FALSE
LEVEL_14:name:39 46:EXCLUDE_OFF:0:0
LEVEL_14:name:39 TRUE
LEVEL_13:factor:323 TRUE
LEVEL_12:term:311 317:"mul_div"-->112 NON_TERMINAL
LEVEL_13:mul_div:112 entry 115
LEVEL_13:mul_div:112 115:"*":0:118 = "*":184 TRUE
LEVEL_13:mul_div:112 TRUE
LEVEL_12:term:311 319:"factor"-->323 NON_TERMINAL
LEVEL_13:factor:323 entry 326
LEVEL_13:factor:323 326:"name"-->39 NON_TERMINAL
LEVEL_14:name:39 entry 42
LEVEL_14:name:39 42:EXCLUDE_ON:44:0
LEVEL_14:name:39 44:"reserved_words"-->49 NON_TERMINAL
LEVEL_15:reserved_words:49 entry 52
LEVEL_15:reserved_words:49 52:"const":0:54 = "w":185 FALSE
LEVEL_15:reserved_words:49 54:"var":0:56 = "w":185 FALSE
LEVEL_15:reserved_words:49 56:"procedure":0:58 = "w":185 FALSE
LEVEL_15:reserved_words:49 58:"call":0:60 = "w":185 FALSE
LEVEL_15:reserved_words:49 60:"begin":0:62 = "w":185 FALSE
LEVEL_15:reserved_words:49 62:"end":0:64 = "w":185 FALSE
LEVEL_15:reserved_words:49 64:"if":0:66 = "w":185 FALSE
LEVEL_15:reserved_words:49 66:"then":0:68 = "w":185 FALSE
LEVEL_15:reserved_words:49 68:"while":0:70 = "w":185 FALSE
LEVEL_15:reserved_words:49 70:"do":0:0 = "w":185 FALSE
LEVEL_15:reserved_words:49 FALSE
LEVEL_14:name:39 46:EXCLUDE_OFF:0:0
LEVEL_14:name:39 TRUE
LEVEL_13:factor:323 TRUE
LEVEL_12:term:311 317:"mul_div"-->112 NON_TERMINAL
LEVEL_13:mul_div:112 entry 115
LEVEL_13:mul_div:112 115:"*":0:118 = ";":186 FALSE
LEVEL_13:mul_div:112 118:"/":0:0 = ";":186 FALSE
LEVEL_13:mul_div:112 FALSE
LEVEL_12:term:311 TRUE
LEVEL_11:expression:294 305:"plus_minus"-->102 NON_TERMINAL
LEVEL_12:plus_minus:102 entry 105
LEVEL_12:plus_minus:102 105:"+":0:108 = ";":186 FALSE
LEVEL_12:plus_minus:102 108:"-":0:0 = ";":186 FALSE
LEVEL_12:plus_minus:102 FALSE
LEVEL_11:expression:294 TRUE
LEVEL_10:operator_content:198 TRUE
LEVEL_9:operator:264 TRUE
LEVEL_8:operator_content:198 TRUE
LEVEL_7:operator:264 TRUE
LEVEL_6:operator_content:198 233:";":235:238 = ";":186 TRUE
LEVEL_6:operator_content:198 235:"operator"-->264 NON_TERMINAL
LEVEL_7:operator:264 entry 269
LEVEL_7:operator:264 269:"operator_content"-->198 NON_TERMINAL
LEVEL_8:operator_content:198 entry 204
LEVEL_8:operator_content:198 204:"name"-->39 NON_TERMINAL
LEVEL_9:name:39 entry 42
LEVEL_9:name:39 42:EXCLUDE_ON:44:0
LEVEL_9:name:39 44:"reserved_words"-->49 NON_TERMINAL
LEVEL_10:reserved_words:49 entry 52
LEVEL_10:reserved_words:49 52:"const":0:54 = "while":192 FALSE
LEVEL_10:reserved_words:49 54:"var":0:56 = "while":192 FALSE
LEVEL_10:reserved_words:49 56:"procedure":0:58 = "while":192 FALSE
LEVEL_10:reserved_words:49 58:"call":0:60 = "while":192 FALSE
LEVEL_10:reserved_words:49 60:"begin":0:62 = "while":192 FALSE
LEVEL_10:reserved_words:49 62:"end":0:64 = "while":192 FALSE
LEVEL_10:reserved_words:49 64:"if":0:66 = "while":192 FALSE
LEVEL_10:reserved_words:49 66:"then":0:68 = "while":192 FALSE
LEVEL_10:reserved_words:49 68:"while":0:70 = "while":192 TRUE
LEVEL_10:reserved_words:49 TRUE
LEVEL_9:name:39 FALSE
LEVEL_8:operator_content:198 217:"call":219:228 = "while":192 FALSE
LEVEL_8:operator_content:198 228:"begin":230:243 = "while":192 FALSE
LEVEL_8:operator_content:198 243:"if":245:254 = "while":192 FALSE
LEVEL_8:operator_content:198 254:"while":256:0 = "while":192 TRUE
LEVEL_8:operator_content:198 256:"condition"-->275 NON_TERMINAL
LEVEL_9:condition:275 entry 278
LEVEL_9:condition:275 278:"unary_oper"-->74 NON_TERMINAL
LEVEL_10:unary_oper:74 entry 77
LEVEL_10:unary_oper:74 77:"odd":0:0 = "w":194 FALSE
LEVEL_10:unary_oper:74 FALSE
LEVEL_9:condition:275 286:"expression"-->294 NON_TERMINAL
LEVEL_10:expression:294 entry 298
LEVEL_10:expression:294 298:"plus_minus"-->102 NON_TERMINAL
LEVEL_11:plus_minus:102 entry 105
LEVEL_11:plus_minus:102 105:"+":0:108 = "w":194 FALSE
LEVEL_11:plus_minus:102 108:"-":0:0 = "w":194 FALSE
LEVEL_11:plus_minus:102 FALSE
LEVEL_10:expression:294 302:"term"-->311 NON_TERMINAL
LEVEL_11:term:311 entry 314
LEVEL_11:term:311 314:"factor"-->323 NON_TERMINAL
LEVEL_12:factor:323 entry 326
LEVEL_12:factor:323 326:"name"-->39 NON_TERMINAL
LEVEL_13:name:39 entry 42
LEVEL_13:name:39 42:EXCLUDE_ON:44:0
LEVEL_13:name:39 44:"reserved_words"-->49 NON_TERMINAL
LEVEL_14:reserved_words:49 entry 52
LEVEL_14:reserved_words:49 52:"const":0:54 = "w":194 FALSE
LEVEL_14:reserved_words:49 54:"var":0:56 = "w":194 FALSE
LEVEL_14:reserved_words:49 56:"procedure":0:58 = "w":194 FALSE
LEVEL_14:reserved_words:49 58:"call":0:60 = "w":194 FALSE
LEVEL_14:reserved_words:49 60:"begin":0:62 = "w":194 FALSE
LEVEL_14:reserved_words:49 62:"end":0:64 = "w":194 FALSE
LEVEL_14:reserved_words:49 64:"if":0:66 = "w":194 FALSE
LEVEL_14:reserved_words:49 66:"then":0:68 = "w":194 FALSE
LEVEL_14:reserved_words:49 68:"while":0:70 = "w":194 FALSE
LEVEL_14:reserved_words:49 70:"do":0:0 = "w":194 FALSE
LEVEL_14:reserved_words:49 FALSE
LEVEL_13:name:39 46:EXCLUDE_OFF:0:0
LEVEL_13:name:39 TRUE
LEVEL_12:factor:323 TRUE
LEVEL_11:term:311 317:"mul_div"-->112 NON_TERMINAL
LEVEL_12:mul_div:112 entry 115
LEVEL_12:mul_div:112 115:"*":0:118 = ">":195 FALSE
LEVEL_12:mul_div:112 118:"/":0:0 = ">":195 FALSE
LEVEL_12:mul_div:112 FALSE
LEVEL_11:term:311 TRUE
LEVEL_10:expression:294 305:"plus_minus"-->102 NON_TERMINAL
LEVEL_11:plus_minus:102 entry 105
LEVEL_11:plus_minus:102 105:"+":0:108 = ">":195 FALSE
LEVEL_11:plus_minus:102 108:"-":0:0 = ">":195 FALSE
LEVEL_11:plus_minus:102 FALSE
LEVEL_10:expression:294 TRUE
LEVEL_9:condition:275 288:"binary_oper"-->80 NON_TERMINAL
LEVEL_10:binary_oper:80 entry 83
LEVEL_10:binary_oper:80 83:"=":0:86 = ">":195 FALSE
LEVEL_10:binary_oper:80 86:"<>":0:89 = ">":195 FALSE
LEVEL_10:binary_oper:80 89:"<":0:92 = ">":195 FALSE
LEVEL_10:binary_oper:80 92:">":0:95 = ">":195 TRUE
LEVEL_10:binary_oper:80 TRUE
LEVEL_9:condition:275 290:"expression"-->294 NON_TERMINAL
LEVEL_10:expression:294 entry 298
LEVEL_10:expression:294 298:"plus_minus"-->102 NON_TERMINAL
LEVEL_11:plus_minus:102 entry 105
LEVEL_11:plus_minus:102 105:"+":0:108 = "y":196 FALSE
LEVEL_11:plus_minus:102 108:"-":0:0 = "y":196 FALSE
LEVEL_11:plus_minus:102 FALSE
LEVEL_10:expression:294 302:"term"-->311 NON_TERMINAL
LEVEL_11:term:311 entry 314
LEVEL_11:term:311 314:"factor"-->323 NON_TERMINAL
LEVEL_12:factor:323 entry 326
LEVEL_12:factor:323 326:"name"-->39 NON_TERMINAL
LEVEL_13:name:39 entry 42
LEVEL_13:name:39 42:EXCLUDE_ON:44:0
LEVEL_13:name:39 44:"reserved_words"-->49 NON_TERMINAL
LEVEL_14:reserved_words:49 entry 52
LEVEL_14:reserved_words:49 52:"const":0:54 = "y":196 FALSE
LEVEL_14:reserved_words:49 54:"var":0:56 = "y":196 FALSE
LEVEL_14:reserved_words:49 56:"procedure":0:58 = "y":196 FALSE
LEVEL_14:reserved_words:49 58:"call":0:60 = "y":196 FALSE
LEVEL_14:reserved_words:49 60:"begin":0:62 = "y":196 FALSE
LEVEL_14:reserved_words:49 62:"end":0:64 = "y":196 FALSE
LEVEL_14:reserved_words:49 64:"if":0:66 = "y":196 FALSE
LEVEL_14:reserved_words:49 66:"then":0:68 = "y":196 FALSE
LEVEL_14:reserved_words:49 68:"while":0:70 = "y":196 FALSE
LEVEL_14:reserved_words:49 70:"do":0:0 = "y":196 FALSE
LEVEL_14:reserved_words:49 FALSE
LEVEL_13:name:39 46:EXCLUDE_OFF:0:0
LEVEL_13:name:39 TRUE
LEVEL_12:factor:323 TRUE
LEVEL_11:term:311 317:"mul_div"-->112 NON_TERMINAL
LEVEL_12:mul_div:112 entry 115
LEVEL_12:mul_div:112 115:"*":0:118 = "do":198 FALSE
LEVEL_12:mul_div:112 118:"/":0:0 = "do":198 FALSE
LEVEL_12:mul_div:112 FALSE
LEVEL_11:term:311 TRUE
LEVEL_10:expression:294 305:"plus_minus"-->102 NON_TERMINAL
LEVEL_11:plus_minus:102 entry 105
LEVEL_11:plus_minus:102 105:"+":0:108 = "do":198 FALSE
LEVEL_11:plus_minus:102 108:"-":0:0 = "do":198 FALSE
LEVEL_11:plus_minus:102 FALSE
LEVEL_10:expression:294 TRUE
LEVEL_9:condition:275 TRUE
LEVEL_8:operator_content:198 258:"do":260:0 = "do":198 TRUE
LEVEL_8:operator_content:198 260:"operator"-->264 NON_TERMINAL
LEVEL_9:operator:264 entry 269
LEVEL_9:operator:264 269:"operator_content"-->198 NON_TERMINAL
LEVEL_10:operator_content:198 entry 204
LEVEL_10:operator_content:198 204:"name"-->39 NON_TERMINAL
LEVEL_11:name:39 entry 42
LEVEL_11:name:39 42:EXCLUDE_ON:44:0
LEVEL_11:name:39 44:"reserved_words"-->49 NON_TERMINAL
LEVEL_12:reserved_words:49 entry 52
LEVEL_12:reserved_words:49 52:"const":0:54 = "begin":204 FALSE
LEVEL_12:reserved_words:49 54:"var":0:56 = "begin":204 FALSE
LEVEL_12:reserved_words:49 56:"procedure":0:58 = "begin":204 FALSE
LEVEL_12:reserved_words:49 58:"call":0:60 = "begin":204 FALSE
LEVEL_12:reserved_words:49 60:"begin":0:62 = "begin":204 TRUE
LEVEL_12:reserved_words:49 TRUE
LEVEL_11:name:39 FALSE
LEVEL_10:operator_content:198 217:"call":219:228 = "begin":204 FALSE
LEVEL_10:operator_content:198 228:"begin":230:243 = "begin":204 TRUE
LEVEL_10:operator_content:198 230:"operator"-->264 NON_TERMINAL
LEVEL_11:operator:264 entry 269
LEVEL_11:operator:264 269:"operator_content"-->198 NON_TERMINAL
LEVEL_12:operator_content:198 entry 204
LEVEL_12:operator_content:198 204:"name"-->39 NON_TERMINAL
LEVEL_13:name:39 entry 42
LEVEL_13:name:39 42:EXCLUDE_ON:44:0
LEVEL_13:name:39 44:"reserved_words"-->49 NON_TERMINAL
LEVEL_14:reserved_words:49 entry 52
LEVEL_14:reserved_words:49 52:"const":0:54 = "q":212 FALSE
LEVEL_14:reserved_words:49 54:"var":0:56 = "q":212 FALSE
LEVEL_14:reserved_words:49 56:"procedure":0:58 = "q":212 FALSE
LEVEL_14:reserved_words:49 58:"call":0:60 = "q":212 FALSE
LEVEL_14:reserved_words:49 60:"begin":0:62 = "q":212 FALSE
LEVEL_14:reserved_words:49 62:"end":0:64 = "q":212 FALSE
LEVEL_14:reserved_words:49 64:"if":0:66 = "q":212 FALSE
LEVEL_14:reserved_words:49 66:"then":0:68 = "q":212 FALSE
LEVEL_14:reserved_words:49 68:"while":0:70 = "q":212 FALSE
LEVEL_14:reserved_words:49 70:"do":0:0 = "q":212 FALSE
LEVEL_14:reserved_words:49 FALSE
LEVEL_13:name:39 46:EXCLUDE_OFF:0:0
LEVEL_13:name:39 TRUE
SEMANTIC_TOKEN AT 206: SEM_LET
LEVEL_12:operator_content:198 208:":=":210:0 = ":=":213 SEMANTIC DECODE: SEM_LET=":="
 TRUE
SEMANTIC_TOKEN AT 210: SEM_DONE
LEVEL_12:operator_content:198 212:"expression"-->294 NON_TERMINAL
LEVEL_13:expression:294 entry 298
LEVEL_13:expression:294 298:"plus_minus"-->102 NON_TERMINAL
LEVEL_14:plus_minus:102 entry 105
LEVEL_14:plus_minus:102 105:"+":0:108 = "2":214 FALSE
LEVEL_14:plus_minus:102 108:"-":0:0 = "2":214 FALSE
LEVEL_14:plus_minus:102 FALSE
LEVEL_13:expression:294 302:"term"-->311 NON_TERMINAL
LEVEL_14:term:311 entry 314
LEVEL_14:term:311 314:"factor"-->323 NON_TERMINAL
LEVEL_15:factor:323 entry 326
LEVEL_15:factor:323 326:"name"-->39 NON_TERMINAL
LEVEL_16:name:39 entry 42
LEVEL_16:name:39 42:EXCLUDE_ON:44:0
LEVEL_16:name:39 44:"reserved_words"-->49 NON_TERMINAL
LEVEL_17:reserved_words:49 entry 52
LEVEL_17:reserved_words:49 52:"const":0:54 = "2":214 FALSE
LEVEL_17:reserved_words:49 54:"var":0:56 = "2":214 FALSE
LEVEL_17:reserved_words:49 56:"procedure":0:58 = "2":214 FALSE
LEVEL_17:reserved_words:49 58:"call":0:60 = "2":214 FALSE
LEVEL_17:reserved_words:49 60:"begin":0:62 = "2":214 FALSE
LEVEL_17:reserved_words:49 62:"end":0:64 = "2":214 FALSE
LEVEL_17:reserved_words:49 64:"if":0:66 = "2":214 FALSE
LEVEL_17:reserved_words:49 66:"then":0:68 = "2":214 FALSE
LEVEL_17:reserved_words:49 68:"while":0:70 = "2":214 FALSE
LEVEL_17:reserved_words:49 70:"do":0:0 = "2":214 FALSE
LEVEL_17:reserved_words:49 FALSE
LEVEL_16:name:39 46:EXCLUDE_OFF:0:0
LEVEL_16:name:39 TRUE
LEVEL_15:factor:323 TRUE
LEVEL_14:term:311 317:"mul_div"-->112 NON_TERMINAL
LEVEL_15:mul_div:112 entry 115
LEVEL_15:mul_div:112 115:"*":0:118 = "*":215 TRUE
LEVEL_15:mul_div:112 TRUE
LEVEL_14:term:311 319:"factor"-->323 NON_TERMINAL
LEVEL_15:factor:323 entry 326
LEVEL_15:factor:323 326:"name"-->39 NON_TERMINAL
LEVEL_16:name:39 entry 42
LEVEL_16:name:39 42:EXCLUDE_ON:44:0
LEVEL_16:name:39 44:"reserved_words"-->49 NON_TERMINAL
LEVEL_17:reserved_words:49 entry 52
LEVEL_17:reserved_words:49 52:"const":0:54 = "q":216 FALSE
LEVEL_17:reserved_words:49 54:"var":0:56 = "q":216 FALSE
LEVEL_17:reserved_words:49 56:"procedure":0:58 = "q":216 FALSE
LEVEL_17:reserved_words:49 58:"call":0:60 = "q":216 FALSE
LEVEL_17:reserved_words:49 60:"begin":0:62 = "q":216 FALSE
LEVEL_17:reserved_words:49 62:"end":0:64 = "q":216 FALSE
LEVEL_17:reserved_words:49 64:"if":0:66 = "q":216 FALSE
LEVEL_17:reserved_words:49 66:"then":0:68 = "q":216 FALSE
LEVEL_17:reserved_words:49 68:"while":0:70 = "q":216 FALSE
LEVEL_17:reserved_words:49 70:"do":0:0 = "q":216 FALSE
LEVEL_17:reserved_words:49 FALSE
LEVEL_16:name:39 46:EXCLUDE_OFF:0:0
LEVEL_16:name:39 TRUE
LEVEL_15:factor:323 TRUE
LEVEL_14:term:311 317:"mul_div"-->112 NON_TERMINAL
LEVEL_15:mul_div:112 entry 115
LEVEL_15:mul_div:112 115:"*":0:118 = ";":217 FALSE
LEVEL_15:mul_div:112 118:"/":0:0 = ";":217 FALSE
LEVEL_15:mul_div:112 FALSE
LEVEL_14:term:311 TRUE
LEVEL_13:expression:294 305:"plus_minus"-->102 NON_TERMINAL
LEVEL_14:plus_minus:102 entry 105
LEVEL_14:plus_minus:102 105:"+":0:108 = ";":217 FALSE
LEVEL_14:plus_minus:102 108:"-":0:0 = ";":217 FALSE
LEVEL_14:plus_minus:102 FALSE
LEVEL_13:expression:294 TRUE
LEVEL_12:operator_content:198 TRUE
LEVEL_11:operator:264 TRUE
LEVEL_10:operator_content:198 233:";":235:238 = ";":217 TRUE
LEVEL_10:operator_content:198 235:"operator"-->264 NON_TERMINAL
LEVEL_11:operator:264 entry 269
LEVEL_11:operator:264 269:"operator_content"-->198 NON_TERMINAL
LEVEL_12:operator_content:198 entry 204
LEVEL_12:operator_content:198 204:"name"-->39 NON_TERMINAL
LEVEL_13:name:39 entry 42
LEVEL_13:name:39 42:EXCLUDE_ON:44:0
LEVEL_13:name:39 44:"reserved_words"-->49 NON_TERMINAL
LEVEL_14:reserved_words:49 entry 52
LEVEL_14:reserved_words:49 52:"const":0:54 = "w":219 FALSE
LEVEL_14:reserved_words:49 54:"var":0:56 = "w":219 FALSE
LEVEL_14:reserved_words:49 56:"procedure":0:58 = "w":219 FALSE
LEVEL_14:reserved_words:49 58:"call":0:60 = "w":219 FALSE
LEVEL_14:reserved_words:49 60:"begin":0:62 = "w":219 FALSE
LEVEL_14:reserved_words:49 62:"end":0:64 = "w":219 FALSE
LEVEL_14:reserved_words:49 64:"if":0:66 = "w":219 FALSE
LEVEL_14:reserved_words:49 66:"then":0:68 = "w":219 FALSE
LEVEL_14:reserved_words:49 68:"while":0:70 = "w":219 FALSE
LEVEL_14:reserved_words:49 70:"do":0:0 = "w":219 FALSE
LEVEL_14:reserved_words:49 FALSE
LEVEL_13:name:39 46:EXCLUDE_OFF:0:0
LEVEL_13:name:39 TRUE
SEMANTIC_TOKEN AT 206: SEM_LET
LEVEL_12:operator_content:198 208:":=":210:0 = ":=":220 SEMANTIC DECODE: SEM_LET=":="
 TRUE
SEMANTIC_TOKEN AT 210: SEM_DONE
LEVEL_12:operator_content:198 212:"expression"-->294 NON_TERMINAL
LEVEL_13:expression:294 entry 298
LEVEL_13:expression:294 298:"plus_minus"-->102 NON_TERMINAL
LEVEL_14:plus_minus:102 entry 105
LEVEL_14:plus_minus:102 105:"+":0:108 = "w":221 FALSE
LEVEL_14:plus_minus:102 108:"-":0:0 = "w":221 FALSE
LEVEL_14:plus_minus:102 FALSE
LEVEL_13:expression:294 302:"term"-->311 NON_TERMINAL
LEVEL_14:term:311 entry 314
LEVEL_14:term:311 314:"factor"-->323 NON_TERMINAL
LEVEL_15:factor:323 entry 326
LEVEL_15:factor:323 326:"name"-->39 NON_TERMINAL
LEVEL_16:name:39 entry 42
LEVEL_16:name:39 42:EXCLUDE_ON:44:0
LEVEL_16:name:39 44:"reserved_words"-->49 NON_TERMINAL
LEVEL_17:reserved_words:49 entry 52
LEVEL_17:reserved_words:49 52:"const":0:54 = "w":221 FALSE
LEVEL_17:reserved_words:49 54:"var":0:56 = "w":221 FALSE
LEVEL_17:reserved_words:49 56:"procedure":0:58 = "w":221 FALSE
LEVEL_17:reserved_words:49 58:"call":0:60 = "w":221 FALSE
LEVEL_17:reserved_words:49 60:"begin":0:62 = "w":221 FALSE
LEVEL_17:reserved_words:49 62:"end":0:64 = "w":221 FALSE
LEVEL_17:reserved_words:49 64:"if":0:66 = "w":221 FALSE
LEVEL_17:reserved_words:49 66:"then":0:68 = "w":221 FALSE
LEVEL_17:reserved_words:49 68:"while":0:70 = "w":221 FALSE
LEVEL_17:reserved_words:49 70:"do":0:0 = "w":221 FALSE
LEVEL_17:reserved_words:49 FALSE
LEVEL_16:name:39 46:EXCLUDE_OFF:0:0
LEVEL_16:name:39 TRUE
LEVEL_15:factor:323 TRUE
LEVEL_14:term:311 317:"mul_div"-->112 NON_TERMINAL
LEVEL_15:mul_div:112 entry 115
LEVEL_15:mul_div:112 115:"*":0:118 = "/":222 FALSE
LEVEL_15:mul_div:112 118:"/":0:0 = "/":222 TRUE
LEVEL_15:mul_div:112 TRUE
LEVEL_14:term:311 319:"factor"-->323 NON_TERMINAL
LEVEL_15:factor:323 entry 326
LEVEL_15:factor:323 326:"name"-->39 NON_TERMINAL
LEVEL_16:name:39 entry 42
LEVEL_16:name:39 42:EXCLUDE_ON:44:0
LEVEL_16:name:39 44:"reserved_words"-->49 NON_TERMINAL
LEVEL_17:reserved_words:49 entry 52
LEVEL_17:reserved_words:49 52:"const":0:54 = "2":223 FALSE
LEVEL_17:reserved_words:49 54:"var":0:56 = "2":223 FALSE
LEVEL_17:reserved_words:49 56:"procedure":0:58 = "2":223 FALSE
LEVEL_17:reserved_words:49 58:"call":0:60 = "2":223 FALSE
LEVEL_17:reserved_words:49 60:"begin":0:62 = "2":223 FALSE
LEVEL_17:reserved_words:49 62:"end":0:64 = "2":223 FALSE
LEVEL_17:reserved_words:49 64:"if":0:66 = "2":223 FALSE
LEVEL_17:reserved_words:49 66:"then":0:68 = "2":223 FALSE
LEVEL_17:reserved_words:49 68:"while":0:70 = "2":223 FALSE
LEVEL_17:reserved_words:49 70:"do":0:0 = "2":223 FALSE
LEVEL_17:reserved_words:49 FALSE
LEVEL_16:name:39 46:EXCLUDE_OFF:0:0
LEVEL_16:name:39 TRUE
LEVEL_15:factor:323 TRUE
LEVEL_14:term:311 317:"mul_div"-->112 NON_TERMINAL
LEVEL_15:mul_div:112 entry 115
LEVEL_15:mul_div:112 115:"*":0:118 = ";":224 FALSE
LEVEL_15:mul_div:112 118:"/":0:0 = ";":224 FALSE
LEVEL_15:mul_div:112 FALSE
LEVEL_14:term:311 TRUE
LEVEL_13:expression:294 305:"plus_minus"-->102 NON_TERMINAL
LEVEL_14:plus_minus:102 entry 105
LEVEL_14:plus_minus:102 105:"+":0:108 = ";":224 FALSE
LEVEL_14:plus_minus:102 108:"-":0:0 = ";":224 FALSE
LEVEL_14:plus_minus:102 FALSE
LEVEL_13:expression:294 TRUE
LEVEL_12:operator_content:198 TRUE
LEVEL_11:operator:264 TRUE
LEVEL_10:operator_content:198 233:";":235:238 = ";":224 TRUE
LEVEL_10:operator_content:198 235:"operator"-->264 NON_TERMINAL
LEVEL_11:operator:264 entry 269
LEVEL_11:operator:264 269:"operator_content"-->198 NON_TERMINAL
LEVEL_12:operator_content:198 entry 204
LEVEL_12:operator_content:198 204:"name"-->39 NON_TERMINAL
LEVEL_13:name:39 entry 42
LEVEL_13:name:39 42:EXCLUDE_ON:44:0
LEVEL_13:name:39 44:"reserved_words"-->49 NON_TERMINAL
LEVEL_14:reserved_words:49 entry 52
LEVEL_14:reserved_words:49 52:"const":0:54 = "if":232 FALSE
LEVEL_14:reserved_words:49 54:"var":0:56 = "if":232 FALSE
LEVEL_14:reserved_words:49 56:"procedure":0:58 = "if":232 FALSE
LEVEL_14:reserved_words:49 58:"call":0:60 = "if":232 FALSE
LEVEL_14:reserved_words:49 60:"begin":0:62 = "if":232 FALSE
LEVEL_14:reserved_words:49 62:"end":0:64 = "if":232 FALSE
LEVEL_14:reserved_words:49 64:"if":0:66 = "if":232 TRUE
LEVEL_14:reserved_words:49 TRUE
LEVEL_13:name:39 FALSE
LEVEL_12:operator_content:198 217:"call":219:228 = "if":232 FALSE
LEVEL_12:operator_content:198 228:"begin":230:243 = "if":232 FALSE
LEVEL_12:operator_content:198 243:"if":245:254 = "if":232 TRUE
LEVEL_12:operator_content:198 245:"condition"-->275 NON_TERMINAL
LEVEL_13:condition:275 entry 278
LEVEL_13:condition:275 278:"unary_oper"-->74 NON_TERMINAL
